Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.025	0
2	1	0	0.05	0
3	1	0	0.075	0
4	1	0	0.1	0
5	1	0	0.125	0
6	1	0	0.15	0
7	2	0	0.175	0
8	2	0	0.2	0
9	2	0	0.225	0
10	2	0	0.25	0
11	2	0	0.275	0
12	2	0	0.3	0
13	3	0	0.325	0
14	3	0	0.35	0
15	3	0	0.375	0
16	3	0	0.4	0
17	3	0	0.425	0
18	3	0	0.45	0
19	4	0	0.475	0
20	4	0	0.5	0
21	4	0	0.525	0
22	4	0	0.55	0
23	4	0	0.575	0
24	4	0	0.6	0
25	5	0	0.625	0
26	5	0	0.65	0
27	5	0	0.675	0
28	5	0	0.7	0
29	5	0	0.725	0
30	6	0	0.75	0
31	6	0	0.775	0
32	6	0	0.8	0
33	6	0	0.825	0
34	6	0	0.85	0
35	6	0	0.875	0
36	6	0	0.9	0
37	7	0	0.925	0
38	7	0	0.95	0
39	7	0	0.975	0
40	7	0	1	0
41	7	0	1.025	0
42	7	0	1.05	0
43	8	0	1.075	0
44	8	0	1.1	0
45	8	0	1.125	0
46	8	0	1.15	0
47	8	0	1.175	0
48	8	0	1.2	0
49	9	0	1.225	0
50	9	0	1.25	0
51	9	0	1.275	0
52	9	0	1.3	0
