Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101428.653	101428.653	101428.653	101428.653	0	0	0	7282.15	0	0	3
2	1	0	0.05	101313.547	101371.1	101313.547	101428.653	57.5527195	0	0	2873.99	0	0	3
3	1	0	0.075	101328.634	101356.945	101313.547	101428.653	71.7081263	0	0	2323.64	0	0	3
4	1	0	0.1	101316.632	101346.866	101313.547	101428.653	81.7862819	0	0	1806.61	0	0	3
5	1	0	0.125	101327.193	101342.932	101313.547	101428.653	85.7210387	0	0	1751.04	0	0	3
6	1	0	0.15	101320.335	101339.166	101313.547	101428.653	89.4870987	0	0	1620.22	0	0	3
7	2	0	0.175	101326.115	101337.301	101313.547	101428.653	91.3514151	0	0	1553.52	0	0	3
8	2	0	0.2	101324.091	101335.65	101313.547	101428.653	93.0027377	0	0	1450.71	0	0	3
9	2	0	0.225	101326.637	101334.648	101313.547	101428.653	94.0042129	0	0	1431.67	0	0	3
10	2	0	0.25	101326.454	101333.829	101313.547	101428.653	94.8236156	0	0	1402.65	0	0	3
11	2	0	0.275	101326.793	101333.189	101313.547	101428.653	95.463234	0	0	1413.59	0	0	3
12	2	0	0.3	101327.251	101332.695	101313.547	101428.653	95.9581149	0	0	1425.08	0	0	3
13	2	0	0.325	101326.543	101332.221	101313.547	101428.653	96.4312808	0	0	1409.4	0	0	3
14	2	0	0.35	101327.164	101331.86	101313.547	101428.653	96.7924899	0	0	1381.85	0	0	3
15	2	0	0.375	101325.884	101331.462	101313.547	101428.653	97.1908827	0	0	1338.69	0	0	3
16	3	0	0.4	101326.205	101331.133	101313.547	101428.653	97.5194429	0	0	1295.14	0	0	3
17	3	0	0.425	101325.967	101330.829	101313.547	101428.653	97.8233612	0	0	1267.35	0	0	3
18	3	0	0.45	101326.291	101330.577	101313.547	101428.653	98.0754907	0	0	1223.32	0	0	3
19	3	0	0.475	101326.356	101330.355	101313.547	101428.653	98.2976643	0	0	1154.99	0	0	3
20	3	0	0.5	101326.502	101330.162	101313.547	101428.653	98.4903363	0	0	1128.64	0	0	3
21	3	0	0.525	101326.477	101325.054	101313.547	101328.634	15.0864991	0	0	1121.98	0	0	3
22	3	0	0.55	101326.887	101325.721	101316.632	101328.634	12.001809	0	0	1127.44	0	0	3
23	3	0	0.575	101327.135	101325.646	101316.632	101327.251	10.6189448	0	0	1118.85	0	0	3
24	3	0	0.6	101327.207	101326.174	101320.335	101327.251	6.91559427	0	0	1118.15	0	0	3
25	4	0	0.625	101327.546	101326.192	101320.335	101327.546	7.21077838	0	0	1104.69	0	0	3
26	4	0	0.65	101327.703	101326.56	101324.091	101327.703	3.61274599	0	0	1099.02	0	0	3
27	4	0	0.675	101328.246	101326.667	101324.091	101328.246	4.15515442	0	0	1084.42	0	0	3
28	4	0	0.7	101328.622	101326.894	101325.884	101328.622	2.73739321	0	0	1064.77	0	0	3
29	4	0	0.725	101329.094	101327.016	101325.884	101329.094	3.20998926	0	0	1054.94	0	0	3
30	4	0	0.75	101329.022	101327.145	101325.884	101329.094	3.20998926	0	0	1051.65	0	0	3
31	4	0	0.775	101329.42	101327.276	101325.884	101329.42	3.53567576	0	0	1030.92	0	0	3
32	4	0	0.8	101329.604	101327.394	101325.884	101329.604	3.72013088	0	0	1017.65	0	0	3
33	4	0	0.825	101329.787	101327.556	101325.884	101329.787	3.90227872	0	0	1016.76	0	0	3
34	5	0	0.85	101329.753	101327.685	101325.884	101329.787	3.90227872	0	0	1015.07	0	0	3
35	5	0	0.875	101329.943	101327.888	101325.967	101329.943	3.97665351	0	0	1012.02	0	0	3
36	5	0	0.9	101329.869	101328.072	101325.967	101329.943	3.97665351	0	0	1005.21	0	0	3
37	5	0	0.925	101329.943	101328.27	101326.291	101329.943	3.65229266	0	0	1004.29	0	0	3
38	5	0	0.95	101330.014	101328.456	101326.356	101330.014	3.65835679	0	0	998.416	0	0	3
39	5	0	0.975	101330.329	101328.655	101326.477	101330.329	3.85137121	0	0	1004.5	0	0	3
40	5	0	1	101330.23	101328.842	101326.477	101330.329	3.78799635	2.05452273	54.2	996.356	0	0	3
41	5	0	1.025	101330.264	101329.031	101326.887	101330.329	3.38526436	2.05452273	60.6	1002.01	0	0	3
42	5	0	1.05	101329.95	101329.184	101327.135	101330.329	3.19393608	2.05452273	64.3	1005.85	0	0	3
43	6	0	1.075	101330.443	101329.349	101327.207	101330.443	3.17503148	2.06022495	64.8	1010.09	0	0	3
44	6	0	1.1	101330.513	101329.405	101327.207	101330.513	3.23043489	2.05452273	63.5	1003.91	0	0	3
45	6	0	1.125	101330.596	101329.566	101327.546	101330.596	3.04957266	2.05452273	67.3	999.395	0	0	3
46	6	0	1.15	101330.322	101329.698	101327.703	101330.596	2.89220275	2.05452273	71	998.461	0	0	3
47	6	0	1.175	101330.431	101329.828	101328.246	101330.596	2.34979433	2.05452273	87.4	996.42	0	0	3
48	6	0	1.2	101330.47	101329.934	101328.622	101330.596	1.97394132	2.05452273	100	1007.49	0	0	3
