Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	101337.602	101337.602	101337.602	101337.602	0	0	0	3598.98	0	0	3
2	1	0	0.05	101329.817	101333.709	101329.817	101337.602	3.89253639	0	0	4142.83	0	0	3
3	1	0	0.075	101330.651	101332.69	101329.817	101337.602	4.91180097	0	0	3665.64	0	0	3
4	1	0	0.1	101327.831	101331.475	101327.831	101337.602	6.1266283	0	0	3354.58	0	0	3
5	1	0	0.125	101328.036	101330.787	101327.831	101337.602	6.81441455	0	0	3426	0	0	3
6	1	0	0.15	101328.782	101330.453	101327.831	101337.602	7.14858572	0	0	3502.35	0	0	3
7	1	0	0.175	101329.947	101330.381	101327.831	101337.602	7.22090997	0	0	3532.71	0	0	3
8	2	0	0.2	101330.514	101330.398	101327.831	101337.602	7.22090997	0	0	3596.47	0	0	3
9	2	0	0.225	101329.918	101330.344	101327.831	101337.602	7.25751217	0	0	3577.81	0	0	3
10	2	0	0.25	101327.153	101330.025	101327.153	101337.602	7.5766043	0	0	3509.03	0	0	3
11	2	0	0.275	101329.193	101329.949	101327.153	101337.602	7.65228397	0	0	3476.87	0	0	3
12	2	0	0.3	101329.142	101329.882	101327.153	101337.602	7.71960433	0	0	3427.56	0	0	3
13	2	0	0.325	101328.245	101329.756	101327.153	101337.602	7.84552528	0	0	3418.01	0	0	3
14	2	0	0.35	101328.663	101329.678	101327.153	101337.602	7.92361591	0	0	3330.74	0	0	3
15	3	0	0.375	101329.067	101329.637	101327.153	101337.602	7.96434776	0	0	3338.84	0	0	3
16	3	0	0.4	101328.947	101329.594	101327.153	101337.602	8.00752605	0	0	3259.16	0	0	3
17	3	0	0.425	101329.886	101329.611	101327.153	101337.602	8.00752605	0	0	3257.21	0	0	3
18	3	0	0.45	101329.866	101329.626	101327.153	101337.602	8.00752605	0	0	3171.13	0	0	3
19	3	0	0.475	101330.794	101329.687	101327.153	101337.602	8.00752605	0	0	3157.3	0	0	3
20	3	0	0.5	101331.133	101329.759	101327.153	101337.602	8.00752605	0	0	3110.88	0	0	3
21	4	0	0.525	101331.995	101329.479	101327.153	101331.995	4.23018183	0	0	3140.47	0	0	3
22	4	0	0.55	101333.121	101329.644	101327.153	101333.121	3.21091726	0	0	3080.86	0	0	3
23	4	0	0.575	101333.335	101329.778	101327.153	101333.335	1.99608992	0	0	3038.95	0	0	3
24	4	0	0.6	101333.483	101330.061	101327.153	101333.483	1.30830368	0	0	2936.48	0	0	3
25	4	0	0.625	101333.212	101330.32	101327.153	101333.483	0.974132502	0	0	2963.38	0	0	3
26	4	0	0.65	101333.442	101330.553	101327.153	101333.483	1.07380868	0	0	2902.41	0	0	3
27	4	0	0.675	101333.65	101330.738	101327.153	101333.65	1.25894125	0	0	2914.03	0	0	3
28	5	0	0.7	101333.996	101330.912	101327.153	101333.996	1.43302679	0	0	2826.67	0	0	3
29	5	0	0.725	101333.872	101331.11	101327.153	101333.996	1.63073756	0	0	2857.39	0	0	3
30	5	0	0.75	101334.132	101331.459	101328.245	101334.132	1.97964976	0	0	2763.11	0	0	3
31	5	0	0.775	101334.035	101331.701	101328.245	101334.132	2.22176031	0	0	2790.36	0	0	3
32	5	0	0.8	101334.316	101331.96	101328.245	101334.316	2.48048286	0	0	2701.54	0	0	3
33	5	0	0.825	101334.875	101332.291	101328.663	101334.875	2.81197796	0	0	2741.98	0	0	3
34	5	0	0.85	101335.684	101332.642	101328.947	101335.684	3.16301919	0	0	2629.41	0	0	3
35	6	0	0.875	101336.497	101333.014	101328.947	101336.497	3.53449136	0	0	2669	0	0	3
36	6	0	0.9	101337.086	101333.42	101329.866	101337.086	3.94147428	0	0	2626.24	0	0	3
